pathways,PMID,length
pancreatic cancer,"28098172.0,26848704.0,27765350.0,24879544.0,27893436.0,26046375.0,34303764.0,29510517.0,29849117.0,32673639.0",10
hepatocellular carcinoma,"24361402.0,24879544.0,29069821.0,25894298.0,24099430.0,17965344.0,27058618.0,34264405.0,31547354.0,32555455.0,31072027.0,32826930.0,30110969.0,29535978.0,36364107.0,29950656.0,31403229.0,33579424.0,31555219.0,31284020.0,35211843.0,34659158.0,31250351.0,31488109.0,35998677.0,29866017.0,32454771.0,32406072.0",28
metabolic pathways,"21375710.0,23666088.0,20373502.0,23263685.0,29889418.0,22016433.0,24127069.0,21207512.0,28993611.0,17653358.0,23619351.0,23553377.0,29094115.0,19401437.0,22768320.0,12919816.0,28830019.0,23656323.0,28442735.0,16318289.0,19362647.0,25603340.0,27005411.0,18369975.0,25911235.0,20624727.0,28394295.0,22653947.0,11572948.0,25372346.0,25195246.0,24150693.0,1302186.0,25539760.0,25482230.0,28125959.0,26369437.0,8989880.0,20530195.0,21443624.0,22642821.0,2907142.0,23924942.0,18534010.0,9781871.0,22353575.0,17665173.0,26323856.0,19374981.0,25209237.0,25887892.0,28540497.0,16894634.0,27936012.0,8932714.0,28009095.0,14660384.0,16298445.0,15101992.0,27121083.0,24814342.0,26519385.0,21539752.0,19685512.0,28779078.0,27117337.0,12207217.0,21963801.0,24923325.0,19610125.0,20946912.0,22952225.0,25294646.0,19853265.0,27936989.0,20421948.0,28229018.0,26466669.0,17438551.0,14704351.0,1766383.0,22710183.0,25739089.0,28475687.0,17468269.0,26456470.0,16939194.0,28722191.0,18211706.0,27919791.0,26363625.0,20447271.0,21746899.0,26323217.0,22522512.0,28384184.0,12818674.0,26483760.0,23509110.0,23266949.0,28389711.0,28287158.0,28469615.0,10948250.0,22768924.0,24082142.0,20552443.0,28587097.0,25914708.0,20739089.0,22795693.0,25750045.0,22610545.0,23751979.0,28428141.0,18629044.0,28861810.0,25305532.0,19915832.0,27581441.0,26557642.0,17185530.0,22009262.0,22131962.0,29149178.0,28338755.0,30410105.0,30529583.0,28398567.0,29407230.0,32323057.0,32512656.0,31986560.0,36314940.0,32407936.0,32466531.0,29396619.0,37279907.0,37586490.0,30220206.0,37762388.0,29319806.0,36272706.0,35710962.0,35525431.0,35751720.0,33526179.0,36931895.0,35763100.0,33677348.0,37931744.0,29111689.0,35501317.0,34132340.0,34699568.0,29476430.0,32025943.0,31611057.0,37861981.0,36498382.0,30297045.0,35840256.0,32413407.0,30755173.0,31415371.0,37331829.0,32634082.0,35878230.0,31675569.0,36302146.0,30590650.0,31861944.0,34489377.0,32709946.0,32169486.0,30485320.0,36344558.0,35188656.0,31773207.0,35738442.0,29323285.0,36519128.0,33591555.0,36914328.0,37226538.0,32376849.0,29550883.0,33260635.0,36565792.0,35281456.0,31724505.0,34285307.0,37060117.0,36110355.0,30599982.0,33990309.0,35376972.0,30898112.0,31739566.0,33468056.0,37478540.0,36651083.0,34218722.0,32523575.0,36943048.0,35572705.0,31065014.0,31693336.0,33453031.0,37774634.0,32049975.0,37782527.0,32803295.0,32093365.0,30453038.0,33984794.0,37437628.0,33529190.0,36253388.0,31757830.0,34066089.0,36979037.0,37731987.0,35628712.0,37333636.0,36903956.0,29937460.0,33809189.0,37938679.0,29682508.0,30787113.0,35071031.0,36813111.0,35629883.0,30830220.0,35692040.0,34523946.0,37835254.0,37901811.0,32344895.0,31969984.0,37507161.0,30364174.0,34998744.0,37689952.0,33361318.0,31972484.0,31901452.0,30582660.0,37367540.0,37841331.0,35649283.0,35696240.0,30515179.0,36736024.0,36782070.0,29498824.0,34447362.0,33531617.0,30504088.0,33413112.0,33927453.0,33033577.0,34035120.0,35082083.0,31108785.0,36294661.0,36355988.0,32973337.0,37804763.0,37885109.0,34421294.0,34643870.0,29371150.0,29467403.0,37239009.0,38031773.0,37197561.0,31694427.0,31555219.0,31817230.0,37711297.0,31006101.0,35257500.0,35145855.0,36585808.0,29860590.0,37180439.0,37125195.0,31236870.0,38264724.0,37894025.0,36654429.0,33745440.0,32404101.0,36296360.0,38179479.0,29844402.0,30884702.0,31548366.0,30482431.0,31693795.0,31422569.0,36566904.0,33947802.0,38312103.0,38166140.0,37439832.0,35274018.0,35205897.0,36722966.0,34294840.0,34841339.0,33322269.0",314
cell cycle,"21326924.0,23870821.0,28169241.0,7954846.0,15659197.0,28369962.0,23170077.0,17960737.0,18095749.0,20878070.0,27617005.0,28714874.0,26891929.0,27765350.0,23059762.0,24879544.0,27550200.0,25907134.0,15548174.0,21648421.0,20562270.0,22976482.0,24099430.0,2531129.0,27058618.0,36233008.0,35403275.0,32253091.0,33677348.0,29352966.0,34128785.0,32364069.0,33716069.0,35977399.0,37001191.0,36190425.0,32669458.0,34437417.0,33746192.0,34677452.0,36828883.0,33572615.0,32826930.0,34947945.0,31403229.0,34020027.0,35232776.0,30614377.0,33127928.0,30607340.0,34052413.0,30603923.0,38067065.0,31488109.0,29705402.0,36499160.0,33440629.0,36694570.0,38005873.0,36551502.0,38291363.0,36925034.0,36286059.0,37597647.0,30261584.0,29747750.0,33182665.0,36330627.0,30860609.0",69
osteoclast differentiation,"22897650.0,29304006.0,33556550.0,34168561.0,32222639.0",5
pathways in cancer,35490806.0,1
anthocyanin biosynthesis,"24378636.0,25644332.0,37782527.0,36144275.0,32302307.0",5
proteoglycans in cancer,34803669.0,1
legionellosis,"22216801.0,34378969.0",2
biosynthesis of amino acids,"29032469.0,27907843.0,36861958.0,36914328.0,31669173.0,37478540.0,37901811.0,38179479.0,33531408.0",9
