Species,SpeciesID,PMID_List,length
Corynebacterium glutamicum,1718,"[21097597, 28893188, 26832668, 22803796]",4
Corynebacterium sp,1720,[12422510],1
Corynebacterium variabilis,1727,[14643798],1
Crocosphaera watsonii WH8501,165597,[18534010],1
Cryptococcus neoformans,5207,"[28004519, 15119855, 23979826, 23190550, 22039419]",5
Cryptosporiopsis sp,1756097,[23870821],1
Cunninghamella blakesleeana,155726,[18758096],1
Cupriavidus necator  H16,381666,[22381697],1
Cupriavidus necator H16,381666,[22381697],1
Cyanobium sp. LEGE 06113,1297573,[23922738],1
Cylindrocarpon sp,1756108,[16680458],1
Cylindrospermopsis raciborskii,77022,"[24293352, 24275084]",2
Cylindrospermum alatosporum,765170,[26893022],1
Cyprinus carpio,7962,"[21294820, 18342561, 25703710]",3
Cystobacter fuscus,43,[16221500],1
D. aliciae,122301,[18782083],1
D. avara,196820,[12918917],1
D. binata,4364,[25551660],1
D. granulosa,154609,[22221759],1
D. magna,35525,[28003198],1
D. pulex,6669,[28003198],1
DC3000,223283,[14651344],1
DNS10,994591,[22981745],1
DSM 17395,60890,[22717884],1
DSM 19095,380021,[21392918],1
DSM 25186,1075417,[22753528],1
DSM 25187,1075416,[22753528],1
DSM 40234,1890,[20180120],1
DSM 45092,340345,[28770445],1
DSM 45943,1470176,[28770445],1
DSM10,1423,"[21262282, 12839737]",2
DSM20231,1280,[16597967],1
DSM50090,294,[21204921],1
DSM7,1390,[21262282],1
DSW-6,592029,[18050942],1
DSW.1-S4,633684,[26051670],1
Daphnia,35525,[25173836],1
Daphnia magna,35525,"[25173836, 28003198]",2
Daphnia pulex,6669,[28003198],1
Daucus carota,4039,[19694949],1
Delftia,1886637,[22653947],1
Delftia acidovorans,80866,[23377039],1
Delftia sp,1886637,[22653947],1
Delftia sp. KV29,1170710,[22653947],1
Delftia sp. str,469553,[25353366],1
Dermacoccus,1871615,[27754712],1
Dermacoccus,322596,[16538400],1
Dermacoccus nishinomiyaensis,1274,[9933918],1
Dermacoccus sp,1871615,[27754712],1
Dermacoccus sp. X4,1820319,[29019198],1
Dermacoccus strai,322596,[16538400],1
Deschampsia antarctica,159298,[21625878],1
Desulfovibrio vulgaris,881,[18163882],1
Diaphorina citri,121845,[23586643],1
Diaporthe sp. P133,427481,[21394664],1
Diatraea saccharalis,40085,[23296917],1
Dichotomomyces cejpii,1884262,[10823183],1
Dickeya solani,1089444,[26307771],1
Dictyostelium discoideum,44689,[23898207],1
Digitalis viridiflora,285840,[30549826],1
Dinoroseobacter shibae,215813,[21551335],1
Diospyros blancoi,1932074,[28603127],1
Diospyrosblancoi,1932074,[28603127],1
Diplosphaera chodatii,152768,[27091386],1
Discodermia dissoluta,76345,[18256706],1
Discodermia sp,73796,[18256706],1
Ditylenchus destructor,166010,[26058971],1
Diuraphis noxia,143948,[15141066],1
Donghaeana dokdonensis strai,592029,[18050942],1
Dreissena polymorpha,45954,[23295683],1
Dreissena rostriformis bugensis,427924,[23295683],1
Drosera aliciae,122301,[18782083],1
Drosera binata,4364,[25551660],1
Drosophila melanogaster,7227,"[20597908, 19486283]",2
Dsol,1089444,[26307771],1
E. agglomerans,549,[21849072],1
E. amylovora,552,"[23493063, 27002332, 23409014, 9150595, 11310739]",5
E. arvense,3258,[27754712],1
E. carotovora,554,[11402212],1
E. carotovora subsp. atroseptica,29471,[16291676],1
E. carotovora subsp. betavasculorum,55207,[16291676],1
E. carotovora subsp. carotovora,555,"[9150595, 16291676, 11310739]",3
E. carotovora subspecies,554,[16291676],1
E. cava,105407,[27192145],1
E. chrysanthemi,556,"[11790734, 9150595]",2
E. cloacae,550,[28746900],1
E. coli,562,"[27419387, 25527542, 22221759, 28534309, 23488669, 29240841, 19560184, 21207111, 29108108, 27634222, 28283524, 21764930, 23360460, 9172332, 27498831, 28392268, 26542712, 24399857, 16860349, 25795127, 22653947, 25128676, 24425771, 23828520, 22977088, 25432345, 21037009, 15266809, 22179145, 23409083, 14687969, 24948950, 23480526, 3306361, 23644174, 16989307, 3541827, 21281165, 1957296, 22851214, 21384090, 8898383, 23566822, 23206756, 27412582, 26272259, 27631134, 24453828, 27373069, 26349774, 23473968, 20552447, 9150595, 22629571, 22039419, 23342508, 26350134]",57
E. coli BL21,511693,[28835544],1
E. coli BL21 (DE3),469008,[29043664],1
E. coli K-12,83333,[28835544],1
E. coli O157:H7,83334,[27754712],1
E. crassus,5936,[15388442],1
E. faecalis,1351,"[24175613, 25398871, 19015326, 16989307, 26593927]",5
E. herbicola,549,[11310739],1
E. herbicola pv. gypsophilae,48984,[11310739],1
E. histolytica,5759,[22763704],1
E. laciniatum,337386,[28865203],1
E. linza,63409,[23033653],1
E. nigrum,105696,[28648623],1
E. oxidotolerans,223958,[23085953],1
E. prostrata,53719,[28623383],1
E. purpurea,53751,[21830789],1
E. ramulus,39490,[12747214],1
E. rhapontici,55212,[11310739],1
E. sertula,62101,[11571152],1
E. stewartii,66271,[11310739],1
E. tarda,636,[27192145],1
Ebola virus,205488,[26577929],1
Echinacea purpurea,53751,"[21830789, 27884784]",2
Echinacea purpurea (L.) Moench,53751,[21830789],1
Ecklonia cava,105407,[27192145],1
Eclipta prostrata,53719,[28623383],1
Edwardsiella tarda,636,[27192145],1
Eggerthella lenta,84112,[27822648],1
Egyptian cotton,3634,[12425071],1
Elizabethkingia meningoseptica,238,[20512647],1
Emericella unguis,40381,[9464413],1
Endophytic Bacterium,2023335,[26767576],1
Endozoicomonas sp,1892382,[27795310],1
Engyodontium album,37998,[26183915],1
Enhygromyxa,215803,[23794290],1
Enhygromyxa salina,215803,[23794290],1
Enrichment cultures,1566732,[26263697],1
Entamoeba histolytica,5759,[22763704],1
Enterobacter,61647,[27889603],1
Enterobacter aerogenes,548,"[28004519, 29188775]",2
Enterobacter agglomerans,549,[21849072],1
Enterobacter cloacae,550,"[27889603, 28746900]",2
Enterobacter gergoviae,61647,[27889603],1
Enterobacter sp,42895,"[22221759, 26432787]",2
Enterobacter sp TTAG,764269,[22221759],1
Enterococcus faecalis,1351,"[21768346, 27166532, 8585741, 28004519, 24175613, 25398871, 23975673, 24948926, 18400237, 15504865, 19015326, 18782083, 23615124, 24070833, 28592323, 28369962, 25284750]",17
Enterococcus faecium,1352,"[8585741, 20562278, 25559405, 29216824, 15504865, 28642945, 26593927]",7
Enterococcus raffinosus,71452,[28535606],1
Enteromorpha linza,63409,[23033653],1
Enterorhabdus mucosicola,580026,[27822648],1
Environmental,1275957,[21768346],1
EpRS3,1712383,[27884784],1
Epicoccum nigrum,105696,[28648623],1
Epidermophyton floccosum,34391,[25431089],1
Equisetum arvense,3258,[27754712],1
Equisetum arvense L,3258,[27754712],1
Erodium laciniatum,337386,[28865203],1
Erwinia,554,[9781871],1
Erwinia,555,[11310739],1
Erwinia amylovora,552,"[28262092, 23493063, 27002332, 24317473, 23409014, 11310739]",6
Erwinia carotovora,554,"[18163882, 10869066, 26588432, 9781871, 11402212, 20056700, 9150595, 16291676]",8
Erwinia carotovora carotovora,555,[20597908],1
Erwinia carotovora subsp. carotovora,555,"[20056700, 9150595, 11310739]",3
Erwinia carotovora subspecies,554,[16291676],1
Erwinia chrysanthemi,556,[11790734],1
Erwinia herbicola pv. gypsophilae,48984,[11310739],1
Erythrobacter litoralis,39960,"[24825299, 24875126]",2
Escherichia,562,"[26303982, 26189645, 20960060, 27288924]",4
Escherichia coli,562,"[12788752, 27548127, 24663118, 27166532, 27419387, 24193053, 18704271, 20962140, 11195098, 29275130, 21951859, 25527542, 22221759, 27618884, 27306928, 24301768, 28534309, 28004519, 19560184, 25559405, 23455197, 18163882, 21207111, 26506462, 21454167, 19086381, 29108108, 25666178, 17272727, 25769826, 22069558, 16395556, 27437708, 28283524, 21764930, 23360460, 23979826, 10869066, 10986672, 26915230, 9172332, 23190550, 26861361, 25553429, 21731548, 28117709, 28392268, 19060172, 24910069, 26588432, 23870821, 27169191, 24399857, 23975673, 29037949, 16860349, 25795127, 22653947, 12234354, 18755976, 21060211, 28699251, 28892017, 28893188, 10907551, 26931616, 24425771, 22170780, 24377252, 23828520, 23232715, 15659197, 26369437, 26832668, 22977088, 25432345, 21037009, 17284841, 12385708, 19220400, 22747978, 15266809, 27072921, 23132656, 24571086, 22179145, 525987, 22919271, 14595781, 26001558, 14687969, 14574103, 11780787, 23615124, 8485146, 22101786, 19837183, 23480526, 27487455, 2907142, 25529345, 23644174, 25742265, 28438205, 3541827, 21281165, 28219296, 22851214, 21384090, 21763692, 9781871, 22425978, 25635112, 21142208, 28835544, 22363226, 8898383, 23171666, 19946877, 23566822, 23206756, 27412582, 22586998, 17499938, 22654215, 25162599, 27910758, 27631134, 11526020, 12103361, 27373069, 26349774, 23473968, 20552447, 9150595, 27609432, 22039419, 11310739, 26186031, 25765308, 25863020, 12519208, 24450337, 29114664, 20473607, 23342508, 26350134, 27784798, 16997979, 27033000, 21610729, 18308354]",152
Escherichia coli ATCC 8739,481805,[27498831],1
Escherichia coli DH5alpha,668369,[21207111],1
Escherichia coli K-12,83333,[23360460],1
Escherichia coli K12,83333,[21651627],1
Escherichia coli MG1655,511145,[29240841],1
Escherichia coli O157:H7,83334,"[27754712, 25290220]",2
Escherichia coli s,37762,[3541827],1
Eschericia coli,562,[24136453],1
Escovopsis,2070380,[28717220],1
Escovopsis sp,2070380,[28717220],1
Escovopsis weberi,150374,[21245311],1
Eubacterium hallii,39488,[23349065],1
Eubacterium ramulus,39490,[12747214],1
Eubacterium rangiferina,469803,[18421431],1
Euplotes crassus,5936,[15388442],1
Exiguobacterium,223958,[23085953],1
Exiguobacterium oxidotolerans,223958,[23085953],1
Exophiala dermatitidis,5970,[22036764],1
Expression,29278,[12698320],1
F. Solani,169388,[23342508],1
F. culmorum,5516,[29261142],1
F. foliacea,478208,"[12788752, 15303321]",2
F. graminearum,5518,"[29261142, 17898845]",2
F. indica,66629,[28764775],1
F. oxysporum,5507,"[12422510, 20814727, 22747978, 28194740]",4
F. oxysporum f. sp. gladioli,113634,[20814727],1
F. oxysporum f. sp. radicis-lycopersici,61372,[15553244],1
F. proliferatum,948311,[27910758],1
F. semitectum,298378,[12422510],1
F. solani,169388,[12422510],1
F. sporotrichioides,5514,[29261142],1
F. tricinctum,61284,[24175613],1
F. verticillioides,117187,[26655755],1
F.oxysporum f. sp. gladioli,113634,[20814727],1
FO-BEG1,911045,[25769826],1
FRM16,1123505,[24904010],1
FXJ2.014,527186,[19777825],1
FZB42,326423,[21262282],1
Faecalibacterium prausnitzii,853,[28923537],1
Fagonia indica,66629,[28764775],1
Fagus sylvatica,28930,[20555400],1
Fasciospongia cavernosa,572252,[24825299],1
Ferula sumbul,371383,[28648623],1
Fictibacillus arsenicus,255247,[27902921],1
Fischerella muscicola,92938,[9630706],1
Flabellia petiolata,189428,[27154031],1
Fluorescent,136843,[12619819],1
Fluorescent pseudomonads,136843,"[20457252, 27974729, 29151161, 18396832]",4
Flustra foliacea,478208,"[12788752, 15303321]",2
Fragaria vesca,57918,[21685161],1
Fragaria x ananassa var,3747,[23924942],1
Frankia,106370,[21498757],1
Frankia CcI3,106370,[17466030],1
Frankia sp,1855,[21498757],1
Frankia sp. CcI3,106370,[21498757],1
Frischella perrara,1267021,[25527542],1
Fusarium,100903,[28523731],1
Fusarium,117187,[25427716],1
Fusarium,169388,[21742008],1
Fusarium,179143,[26655755],1
Fusarium,5507,"[21780139, 27863465]",2
Fusarium,5518,[27664721],1
Fusarium,61372,"[15553244, 25512025]",2
Fusarium culmorum,5516,"[17233750, 28408760]",2
Fusarium graminearum,5518,"[21362001, 27664721, 19220400, 17898845]",4
Fusarium moniliforme,117187,"[12422510, 26985927]",2
Fusarium oxysporum,5507,"[22852578, 19577444, 21780139, 27863465, 16997957, 23065379, 20814727, 19597575, 25304022, 24140292, 22747978, 12732958, 28194740, 27702563, 28164793]",15
Fusarium oxysporum f. sp. fragariae,100903,[28523731],1
Fusarium oxysporum f. sp. gladioli,113634,[20814727],1
Fusarium oxysporum f. sp. pisi,179143,[26655755],1
Fusarium oxysporum f. sp. radicis-lycopersici,61372,"[15553244, 25512025, 21685161, 12848429, 26860841]",5
Fusarium proliferatum,948311,[27910758],1
Fusarium solani,169388,"[28392268, 21742008, 23342508]",3
Fusarium sp,29916,"[26160390, 25742265, 24037513, 18396832]",4
Fusarium tricinctum,61284,[24175613],1
Fusarium udum,42665,[25304022],1
Fusarium verticillioides,117187,"[26036671, 26655755, 25427716]",3
G. mellonella,7137,"[27306928, 12788281]",2
G. roseus,404900,[28931093],1
G. vaginalis,2702,[24665759],1
GAR,4682,[16230654],1
GAS,36470,[25367342],1
Galleria mellonela,7137,[27889603],1
Galleria mellonella,7137,[27889603],1
Gardnerella vaginalis,2702,[24665759],1
Geitlerinema CCC728,1428405,[28004519],1
Geminicoccus roseus,404900,[28931093],1
Gentiana lutea L,38851,[19678535],1
Geotrichum candidum,1173061,[9246777],1
Geotrichum sp,1907943,[10986672],1
Gibbons,9581,[28346340],1
Gibellulopsis nigrescens,796325,[24759645],1
Gillisia sp. CAL575,985255,[24150693],1
Ginseng,4054,"[9933987, 9436194, 17764709]",3
Gladiolus,378406,[20814727],1
Gladiolus grandiflorus,378406,[20814727],1
Glomus intraradices,4876,[19574251],1
Glycine max,3847,[23993531],1
Glycine max (L.) Merr,3847,[24869797],1
Group A Streptococci,36470,[25367342],1
Group A Streptococcus,36470,[25367342],1
Guignardia citricarpa,55181,[23296917],1
Guignardia sp,1715232,[10986672],1
Gypsophila paniculata,235358,[14569290],1
H. abietis,201999,[27199034],1
H. armigera,29058,[23668716],1
H. fasciculare,72129,[20555400],1
H. simulans,53583,"[18953608, 24893324]",2
H. speciosa,403091,[20960060],1
H. welwitschii UH strain ,1524913,[26335778],1
H12N2,397549,[28777571],1
H1N1,114727,[26436919],1
H37Rv,1773,[28699251],1
H37Rv,83332,[28647504],1
HG29,1701856,[29158025],1
HK10,1538294,[27609432],1
HPC 1271,1069631,[26432787],1
HRW.1-S3,633683,[26051670],1
HSV-1,10298,[29248948],1
HSV-2,10310,[23775636],1
Haliangium ochraceum,80816,[22189493],1
Halichondria panicea,6063,[20382810],1
Haliclona,34490,[25431341],1
Haliclona simulans,492524,"[18953608, 18430018, 24893324]",3
Haliclona sp,34490,"[25431341, 25957971, 20849448]",3
Halobacillus,192814,[21152942],1
Halobacillus salinus,192814,"[21152942, 19060172]",2
Halocynthia roretzi,7729,[21551335],1
Halomonas elongata,2746,[19191973],1
Halomonas halophila,29573,[17665173],1
Halomonas salina,42565,[17665173],1
Halomonas sp,1486246,[16629408],1
Halomonas sp.,1486246,[16629408],1
Hancornia speciosa Gomes,403091,[20960060],1
Hapalosiphon welwitschii UH strain ,1524913,[26335778],1
Hasllibacter halocynthiae,595589,"[23090017, 21551335]",2
Hebeloma cylindrosporum,76867,[22852578],1
Helianthemum,1336679,[23615124],1
Helianthemum alypoides,1336674,[23615124],1
Helianthemum apenninum subsp. cavanillesianum,1336675,[23615124],1
Helianthemum asperum,1336676,[23615124],1
Helianthemum cinereum,1336677,[23615124],1
Helianthemum cinereum subsp. rotundifolium,1336678,[23615124],1
Helianthemum hirtum,1336679,[23615124],1
Helianthemum marifolium,632759,[23615124],1
Helianthemum marifolium subsp. marifolium,1336680,[23615124],1
Helianthemum polygonoides,1336682,[23615124],1
Helianthemum syriacum,858930,[23615124],1
Helicobacter pylori,210,[24070833],1
Helicoverpa armigera,29058,[23668716],1
Helicoverpa zea,7113,[27702563],1
Helix pomatia,6536,[24293352],1
Herbidospora,688067,[26452464],1
Herbidospora daliensis,295585,[26452464],1
Herbidospora mongoliensis,688067,[26452464],1
Herbidospora sakaeratensis,564415,[26452464],1
Herbidospora yilanensis,354426,[26452464],1
Herdmania momus,7733,[25572211],1
Heterobasidion abietinum,207833,[22852578],1
Heterobasidion annosum,13563,[22852578],1
Holdemania filiformis,61171,[28923537],1
Honey Bee,7460,[27760211],1
Houttuynia cordata Thunb,16752,[25675117],1
Human,9606,"[27393306, 28800088, 16715543, 28726195, 19370169]",5
Human Gut Microbiota,408170,[28923537],1
Humans,9606,[25629545],1
Humulus lupulus L,3486,"[20456526, 27471059]",2
Hylobius abietis,201999,[27199034],1
Hymeniacidon perleve,177573,[22754340],1
Hypericum,282558,[23360506],1
Hypericum,999574,[22170780],1
Hypericum densiflorum,268988,[22170780],1
Hypericum ellipticum,999574,[22170780],1
Hypericum prolificum,269015,[22170780],1
Hypericum punctatum,269017,[22170780],1
Hypericum triquetrifolium,282558,[23360506],1
Hypericum triquetrifolium Turra,282558,[23360506],1
Hypholoma fasciculare,72129,[20555400],1
I. strobilina,467775,[18469126],1
I. variabilis,139208,[12918917],1
Ircinia,467775,[18469126],1
Ircinia strobilina,467775,[18469126],1
J. lividum,29581,[29119317],1
JD2,469553,[25353366],1
Janthinobacterium lividum,29581,"[15006783, 29119317]",2
K. algicida,221066,[21622754],1
K. erythromyxa,1275,[27231874],1
K. pneumoniae,573,"[29108108, 24453828, 20606771]",3
K. sedentarius,1276,[9933918],1
KB6,1752066,[26767576],1
KCCM 90101,1075417,[22753528],1
KCCM 90102,1075416,[22753528],1
KCTC 29186,1306990,[24690912],1
Kibdelosporangium aridum,2030,[15870305],1
Klebsiella aerogenes,548,[3913845],1
Klebsiella oxytoca,571,[25742265],1
Klebsiella pneumoniae,573,"[28004519, 21454167, 29108108, 23979826, 29216824, 25737024, 21060211, 27884784, 28535606, 15266809, 28219296, 28642945, 24097052, 28714207, 24453828, 23342508]",16
Kluyveromyces thermotolerans,381046,[25427716],1
Kocuria erythromyxa,1275,[27231874],1
Kocuria rhizophila,72000,[21596505],1
Kocuria rosea,1275,[25385358],1
Kordia algicida OT-1,391587,[21622754],1
Kutzneria,1449976,[25301375],1
Kutzneria albida,43357,[25301375],1
Kutzneria albida DSM 43870,1449976,[25301375],1
Kytococcus sedentarius,1276,[9933918],1
L. acidophilus,1579,[26272259],1
L. americanus,309868,[23586643],1
L. antibioticus,84531,[26597042],1
L. asiaticus,34021,[23586643],1
L. bicolor,29883,[27199346],1
L. brevis,1580,[27192145],1
L. brunescens,262323,[8864212],1
L. capsici,435897,[26597042],1
L. catesbeianus,8400,[25431089],1
L. dendroidea,700169,[22985125],1
L. divaricata,577011,[24301768],1
L. enzymogenes,69,"[23974132, 26360465, 24111575, 25236801, 26597042, 8864212]",6
L. ericoides,594549,[27128202],1
L. gongylophorus,79220,[21245311],1
L. gummosus,262324,[26597042],1
L. innocua,1642,[28945113],1
L. lactis,1358,[28921941],1
L. majuscula,158786,"[15184125, 17063408, 11777570, 18001088]",4
L. majuscula 3L,489825,[21555588],1
L. monocytogenes,1639,"[9246777, 19914169, 23480526]",3
L. orientalis,49607,[28865203],1
L. patella,13110,"[24788869, 22123943]",2
L. pentosus,1589,[27192145],1
L. plantarum,1590,"[19919120, 27192145]",2
L. pneumophila,446,[28116768],1
L. reuteri,1598,[28438205],1
L. var. dulcis,542674,[25222744],1
L. venustum,400231,[23171666],1
L.f,1613,[21526440],1
LB400,266265,[22427498],1
LGP32,575788,[24905482],1
Laccaria bicolor,29883,"[22852578, 27199346]",2
Lactobacillus,1579,"[27916854, 29053003]",2
Lactobacillus,1590,"[29094115, 25421573]",2
Lactobacillus,1598,[28438205],1
Lactobacillus acidophilus,1579,"[27916854, 29053003, 26272259, 28083890]",4
Lactobacillus brevis,1580,[27192145],1
Lactobacillus fermentum,1613,"[16632004, 21526440]",2
Lactobacillus paraplantarum,60520,[25421573],1
Lactobacillus pentosus,1589,[27192145],1
Lactobacillus plantarum,1590,"[26189714, 19919120, 27192145, 29094115, 25421573, 26048933]",6
Lactobacillus reuteri,1598,"[12382680, 28438205]",2
Lactobacillus sakei,1599,[11934033],1
Lactobacillus sp,1591,[9246777],1
Lactococcus lactis,1358,"[28921941, 26048933, 16751541]",3
Lactococcus lactis subsp. lactis,1360,[26189714],1
Lactococcus sp,44273,[9246777],1
Lactuca orientalis,1400689,[28865203],1
Lagenidium callinectes,135480,[24875126],1
Laurencia,470949,[12919806],1
Laurencia,700169,[22985125],1
Laurencia dendroidea,700169,[22985125],1
Laurencia majuscula,470949,[12919806],1
Leaf-cutting ants,12956,[21245311],1
Lecythophora hoffmannii,91930,[22036764],1
Leishmania (Leishmania) amazonensis,5659,[25742265],1
Leishmania major,5664,[15388442],1
Leishmania tropica,5666,[28764775],1
Lentinus edodes,5353,[23023950],1
Lentzea violacea,128104,[28699251],1
Leontopodium nivale,595348,[24932777],1
Leptolyngbya,637608,[25412549],1
Leptolyngbya CCC732,1499083,[28004519],1
Leptolyngbya sp,47254,[21118276],1
Leptolyngbya strai,637608,[25412549],1
Leuconostoc citreum,33964,[26907755],1
Leuconostoc gelidum,1244,[26907755],1
Leuconostoc mesenteroides,1245,[26907755],1
Leucopaxillus albissimus,71893,[23023950],1
Leucothrix mucor,45248,[6035263],1
Lingulodinium polyedrum,160621,[17295279],1
Lissoclinum patella,13110,"[24788869, 23185008, 22123943]",3
Listeria,1638,[28945113],1
Listeria innocua,1642,"[28945113, 19015326]",2
Listeria ivanovii,1638,[28945113],1
Listeria monocytogenes,1639,"[9246777, 12234354, 28892017, 28945113, 21742008, 12382680, 19914169, 23615124, 23480526]",9
Lithobates catesbeianus,8400,[25431089],1
Lobothallia alphoplaca,1260763,[28369962],1
Loktanella hongkongensis,278132,[24532297],1
Lotus japonicus,34305,"[19522562, 22432875]",2
Luehea divaricata,577011,[24301768],1
Luffariella variabilis,1162756,[17952508],1
Lupinus angustifolius,3871,[26189714],1
Luteibacter sp,1886636,[17233750],1
Lychnophora ericoides,594549,[27128202],1
Lychnophora ericoides Mart,594549,[27128202],1
Lycopersicum esculentum,4081,[21685161],1
Lygodium venustum SW,400231,[23171666],1
Lymantria dispar,13123,[26961755],1
Lyngbya,158786,[21555588],1
Lyngbya,207920,[15184125],1
Lyngbya bouillonii,207920,"[15184125, 21533272, 18493654]",3
Lyngbya majuscula,158786,"[15184125, 17063408, 11777570, 18001088, 21555588]",5
Lyngbya majuscula 3L,489825,"[18493654, 21555588]",2
Lyngbya majuscula JHB,1454205,[18493654],1
Lysobacter,262323,[8864212],1
Lysobacter brunescens,262323,[8864212],1
Lysobacter enzymogenes,69,"[23974132, 26360465, 24111575, 25236801, 8864212]",5
M. abscessus,36809,[20470251],1
M. aeruginosa,1126,"[23950996, 15184565, 27263013, 18534010, 28944994, 21283831]",6
M. aeruginosa (NIES-843),449447,[18534010],1
M. aeruginosa PCC 7806,267872,"[25381232, 21283831]",2
M. anisopliae,5530,[18502925],1
M. arabinogalactanolyticum,69365,[17764709],1
M. bovis,28903,[25824130],1
M. cervina,100997,[15043434],1
M. chalcea,1874,[20470251],1
M. elsdenii,907,[20456526],1
M. endobia,1048758,[24204799],1
M. esteraromaticum,57043,[17764709],1
M. fortuitum,1766,[28708374],1
M. fulvus,33,[10547442],1
M. gale,29739,[20190089],1
M. gallisepticum,2096,[1957296],1
M. guianensis,50146,[24948926],1
M. hiemalis,64493,[27486066],1
M. ichthyoblabe,75561,[15184565],1
M. imperiale,33884,[27231874],1
M. incognita,6306,[28454711],1
M. jalapa,3538,[29049321],1
M. javanica,6303,[15189291],1
M. lacticum.,33885,[17764709],1
M. perniciosa,153609,[24301768],1
M. phaseolina,35725,"[24037513, 18396832]",2
M. salipaludis,187980,[27626430],1
M. sexta,7130,[25398871],1
M. smegmatis,1772,"[12422510, 28708374, 16989307]",3
M. spicatum,208873,[12474899],1
M. stipitatus DSM 14675,1278073,[27291672],1
M. truncatula,3880,[26861677],1
M. tuberculosis,1773,"[21060211, 23002228, 28647504, 26323856, 19018016]",5
M. tuberculosis H37Rv,83332,[19018016],1
"M. tuberculosis, C",348776,[16989307],1
M. wesenbergii,44823,[15184565],1
M. xanthus,34,"[19190408, 18378661, 23828520, 25002419, 22977088, 16997979]",6
MMG-1,637608,[25412549],1
MS(2),2710868,[21830789],1
MS2,2710868,"[28777571, 21477107, 28642031, 16719836]",4
MT1,395598,[22609919],1
MT1.1,322596,[16538400],1
MUSC 135,1355015,[25162061],1
MUSC 149T,1428628,[28927873],1
Macrophomina phaseolina,35725,"[25304022, 24037513, 18396832]",3
Macrotermes natalensis,315803,[28463423],1
Madagascar Periwinkle,4058,[29191163],1
Magnetovibrio blakemorei,28181,[25603340],1
Mammalian,9606,[28335605],1
Manduca sexta,7130,[25398871],1
Mango,29780,[27515463],1
Maytenus hookeri,205464,[17510985],1
Medicago truncatula,3880,"[26861677, 19574251]",2
Medicago truncatula Gaertn,3880,[26861677],1
Megasphaera elsdenii,907,[20456526],1
Melanogrammus aeglefinus,8056,[18342561],1
Melia azedarach,155640,[24689437],1
Melia azedarach L,155640,[24689437],1
Meloidogyne incognita,6306,"[28454711, 27702563]",2
Meloidogyne javanica,6303,"[14962038, 15189291]",2
Mentha piperita,34256,"[25655927, 21843946]",2
Metarhizium anisopliae,5530,[18502925],1
Methanosarcina barkeri,2208,[28432098],1
Methanospirillum hungatei,2203,[28432098],1
Metschnikowia reukaufii,27327,[27459772],1
Microbacterium,51671,[17764709],1
Microbacterium gubbeenense,159896,[24759645],1
Microbacterium imperiale,33884,[27231874],1
Microbacterium oleovorans,273677,[25427716],1
Microbacterium sp,51671,[17764709],1
Microbispora sp. LGMB259,1118191,[25385358],1
Micrococcus,1271,[3197807],1
Micrococcus luteus,1270,"[28161814, 21764930, 23296917, 24532297, 28699251, 25385358]",6
Micrococcus nishinomiyaensis,1274,[9933918],1
Micrococcus sedentarius,1276,[9933918],1
Micrococcus sp,1271,"[9246777, 3197807, 26591527]",3
Microcystis,1126,"[23950996, 15184565, 25980449, 28003198]",4
Microcystis,1127,"[28730710, 23757137, 26918405]",3
Microcystis,267872,"[25381232, 25173836, 21283831]",3
Microcystis,449447,[18534010],1
Microcystis aeruginosa,1126,"[23950996, 27263013, 25980449, 28944994, 21283831, 28283295, 28003198]",7
Microcystis aeruginosa PCC 7806,267872,"[25381232, 18534010]",2
Microcystis aeruginosa PCC7806,267872,[25173836],1
Microcystis sp,1127,"[28730710, 15184565, 23757137, 26918405]",4
Micromonospora,1538294,[27609432],1
Micromonospora,536274,[23344968],1
Micromonospora,664879,[20067528],1
Micromonospora (4,870670,[27139253],1
Micromonospora (Se080624GE-07,664879,[20067528],1
Micromonospora chalcea,1874,[20470251],1
Micromonospora echinospora,1877,[28754206],1
Micromonospora sp. HK10,1538294,[27609432],1
Micromonospora sp. R1,536274,[23344968],1
Micromonospora sp. RV43,1661387,[28355070],1
Micromonospora sp. Tu 6368,428986,"[15835721, 15835722]",2
Micromonospora sp. strain ,428986,[15835722],1
Micromonospora strain ,428986,[15835721],1
Microsporum canis,63405,[22140558],1
Microsporum gypseum,63402,[25431089],1
Mirabilis jalapa L,3538,[29049321],1
Miscanthus x giganteus,183674,[21782215],1
Monilinia fructicola,38448,[22536997],1
Moniliophthora perniciosa,153609,"[24301768, 23296917]",2
Moorea bouillonii,207920,[21724952],1
Moorea producens,1155739,[21724952],1
Moorea producens JHB,1454205,[26222584],1
Moorea producens PAL,1905009,[28265051],1
Mooreia alkaloidigena,1075416,[22753528],1
Moranella endobia,1048758,[24204799],1
Morone saxatilis,34816,[18342561],1
Morus nigra,85232,[28603127],1
Morusnigra,85232,[28603127],1
Mtb,1773,[19362644],1
Mucor hiemalis,64493,[27486066],1
Mucor ramannianus,41833,[18758096],1
Musca domestica,7370,[12425079],1
Mushroom,5341,[27910758],1
Mycobacterium abscessus,36809,"[28708374, 20470251, 19189039, 27609432]",4
Mycobacterium bovis (BCG),33892,[29066791],1
Mycobacterium intracellulare,1767,[28953997],1
Mycobacterium marinum,1781,[28391728],1
Mycobacterium neoaurum,1795,[29738205],1
Mycobacterium phlei,1771,[12422510],1
